Name,Symbol,Market Cap (USD),Price (USD),Circulating Supply (USD),Volume (24h),Change (1h),Change (24h),Change (7d)
BTCBitcoin,BTC,"$1.26T$1,259,233,930,613","$63,771.56","19,727,678 BTC","$27,517,259,964",0.13%,-1.37%,11.48%
ETHEthereum,ETH,"$408.4B$408,398,025,302","$3,398.25","120,224,184 ETH *","$15,376,540,348",-0.33%,-1.19%,10.56%
USDTTether USDt,USDT,"$113.67B$113,667,219,688",$0.9997,"113,696,229,621 USDT *","$53,792,973,581",-0.03%,-0.04%,-0.02%
BNBBNB,BNB,"$84.23B$84,230,691,088",$571.27,"147,581,949 BNB *","$1,644,446,955",-0.07%,-0.11%,9.48%
SOLSolana,SOL,"$75.07B$75,072,827,272",$161.70,"464,272,471 SOL *","$2,564,087,763",-0.73%,2.07%,19.57%
USDCUSDC,USDC,"$33.69B$33,686,910,116",$0.9999,"33,689,062,326 USDC *","$6,234,515,705",-0.02%,-0.01%,<0.01%
XRPXRP,XRP,"$30.81B$30,806,029,406",$0.551,"55,909,481,874 XRP *","$2,289,763,369",0.05%,-3.49%,18.75%
TONToncoin,TON,"$18.26B$18,264,564,028",$7.27,"2,512,119,604 TON *","$200,744,623",-0.28%,1.11%,-0.58%
DOGEDogecoin,DOGE,"$17.28B$17,276,211,960",$0.119,"145,177,166,384 DOGE","$659,380,360",-0.36%,-1.26%,12.00%
ADACardano,ADA,"$15.14B$15,142,483,026",$0.4219,"35,889,916,794 ADA *","$336,301,294",-0.36%,-4.08%,5.51%
TRXTRON,TRX,"$11.75B$11,752,979,956",$0.1349,"87,097,295,276 TRX *","$297,490,225",-0.26%,0.83%,-0.74%
AVAXAvalanche,AVAX,"$10.64B$10,640,355,465",$26.96,"394,717,334 AVAX *","$273,416,028",-0.11%,-2.16%,6.92%
SHIBShiba Inu,SHIB,"$10.13B$10,134,291,318",$0.0000172,"589,270,685,737,474 SHIB *","$1,188,738,304",-0.28%,-0.44%,7.27%
DOTPolkadot,DOT,"$8.79B$8,787,182,635",$6.11,"1,437,953,431 DOT *","$193,769,583",0.09%,-1.37%,4.39%
LINKChainlink,LINK,"$8.25B$8,249,632,938",$13.57,"608,099,970 LINK *","$288,432,036",-0.41%,-1.34%,9.16%
BCHBitcoin Cash,BCH,"$7.41B$7,407,823,197",$375.37,"19,734,903 BCH","$269,174,543",-0.42%,-0.13%,7.34%
NEARNEAR Protocol,NEAR,"$6.7B$6,704,447,408",$6.08,"1,103,255,250 NEAR *","$266,138,895",0.07%,0.45%,25.95%
LEOUNUS SED LEO,LEO,"$5.39B$5,390,948,559",$5.82,"925,953,950 LEO *","$798,893",0.30%,0.27%,0.49%
DAIDai,DAI,"$5.35B$5,347,014,055",$0.9998,"5,347,888,596 DAI *","$128,911,601",-0.01%,-0.01%,-0.02%
LTCLitecoin,LTC,"$5.25B$5,249,590,359",$70.21,"74,766,481 LTC","$260,372,620",-1.06%,-2.35%,1.88%
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
