Name,Code,Value,Price,Change,Percent
Дирхам ОАЭ,AED,10,240.3880,+1.2930,+0.54%
Армянский драм,AMD,1000,227.5500,+1.1310,+0.50%
Австралийский доллар,AUD,1,59.4847,-0.0050,-0.01%
Азербайджанский манат,AZN,1,51.9308,+0.2792,+0.54%
Болгарский лев,BGN,1,49.2320,+0.3410,+0.70%
Бразильский реал,BRL,1,16.1808,+0.0770,+0.48%
Белорусский рубль,BYN,1,27.6081,+0.1330,+0.48%
Канадский доллар,CAD,1,64.6095,+0.1777,+0.28%
Швейцарский франк,CHF,1,98.6175,+0.4096,+0.42%
Китайский юань,CNY,10,120.4920,+0.7010,+0.58%
Чешская крона,CZK,10,37.9481,+0.2850,+0.75%
Датская крона,DKK,10,129.0510,+0.8870,+0.69%
Евро,EUR,1,96.2637,+0.4788,+0.50%
Фунт стерлингов,GBP,1,114.6259,+0.5725,+0.50%
Грузинский лари,GEL,1,32.5561,+0.3614,+1.12%
Гонконгский доллар,HKD,10,113.3280,+0.6380,+0.56%
Венгерский форинт,HUF,100,24.5878,+0.1104,+0.45%
Индонезийская рупия,IDR,10000,54.5829,+0.2263,+0.42%
Индийская рупия,INR,100,105.6290,+0.5530,+0.52%
Японская иена,JPY,100,55.7409,+0.2367,+0.43%
Киргизский сом,KGS,100,103.5780,+0.6380,+0.62%
Вона Республики Корея,KRW,1000,63.8848,+0.0850,+0.13%
Казахский тенге,KZT,100,18.6845,+0.1998,+1.08%
Молдавский лей,MDL,10,49.7422,+0.2867,+0.58%
Норвежская крона,NOK,10,81.9767,+0.2655,+0.32%
Польский злотый,PLN,1,22.5884,+0.0505,+0.22%
Катарский риал,QAR,10,242.5340,+1.3040,+0.54%
Новый румынский лей,RON,1,19.3793,+0.1021,+0.53%
Сербский динар,RSD,100,82.1736,+0.4404,+0.54%
Шведская крона,SEK,10,83.4579,+0.2825,+0.34%
Сингапурский доллар,SGD,1,65.6668,+0.2217,+0.34%
Таиландский бат,THB,100,243.7930,+1.4040,+0.58%
Таджикский сомони,TJS,10,82.7125,+0.3374,+0.41%
Новый туркменский манат,TMT,1,25.2235,+0.1356,+0.54%
Турецкая лира,TRY,1,2.6804,+0.0144,+0.54%
Украинская гривна,UAH,10,21.5267,+0.1328,+0.62%
Доллар США,USD,1,88.2824,+0.4747,+0.54%
Узбекский сум,UZS,1000,7.0023,+0.0529,+0.76%
Вьетнамский донг,VND,10000,36.4126,+0.1958,+0.54%
СДР (специальные права заимствования),XDR,1,117.1737,+0.7626,+0.65%
Южноафриканский рэнд,ZAR,10,48.5751,-0.0368,-0.08%
