Name,Code,Value,Price,Change,Percent
Дирхам ОАЭ,AED,10,241.6900,+0.0010,+0.00%
Армянских драмов,AMD,1000,228.9360,–0.0340,–0.01%
Австралийский доллар,AUD,1,59.2211,+0.1067,+0.18%
Азербайджанский манат,AZN,1,52.2121,+0.0001,+0.00%
Болгарский лев,BGN,1,49.3082,–0.0316,–0.06%
Бразильский реал,BRL,1,16.8497,+0.0511,+0.30%
Белорусский рубль,BYN,1,27.8850,–0.0271,–0.10%
Канадский доллар,CAD,1,64.8550,+0.0475,+0.07%
Швейцарский франк,CHF,1,99.7983,+0.3246,+0.33%
Китайских юаней,CNY,10,122.2900,+0.0390,+0.03%
Чешских крон,CZK,10,39.3460,+0.1928,+0.49%
Датских крон,DKK,10,129.2890,–0.0010,–0.00%
Евро,EUR,1,96.6916,+0.1218,+0.13%
Фунт стерлингов,GBP,1,113.3739,+0.1156,+0.10%
Грузинский лари,GEL,1,31.4509,–0.2674,–0.84%
Гонконгский доллар,HKD,10,113.8690,+0.0150,+0.01%
Венгерских форинтов,HUF,100,24.8052,+0.1687,+0.68%
Индонезийская рупия,IDR,10000,54.5246,+0.0102,+0.02%
Индийских рупий,INR,100,106.3950,+0.0500,+0.05%
Японских иен,JPY,100,57.0075,+0.0733,+0.13%
Киргизских сомов,KGS,100,101.6720,+0.0010,+0.00%
Вон Республики Корея,KRW,1000,65.0118,+0.3647,+0.56%
Казахских тенге,KZT,100,19.8618,+0.0775,+0.39%
Молдавских леев,MDL,10,50.2295,+0.0691,+0.14%
Норвежских крон,NOK,10,83.8598,–0.2366,–0.28%
Польский злотый,PLN,1,22.5344,+0.0805,+0.36%
Катарский риал,QAR,10,243.8480,+0.0010,+0.00%
Новый румынский лей,RON,1,19.4361,+0.0307,+0.16%
Сербский динар,RSD,100,82.6160,+0.0694,+0.08%
Шведских крон,SEK,10,85.1913,+0.0002,+0.00%
Сингапурский доллар,SGD,1,65.9685,+0.0296,+0.04%
Таиландский бат,THB,100,243.9550,+0.7030,+0.29%
Таджикских сомони,TJS,10,82.6687,+0.0263,+0.03%
Новый туркменский манат,TMT,1,25.3602,+0.0001,+0.00%
Турецкая лира,TRY,1,2.7560,+0.0235,+0.86%
Украинских гривен,UAH,10,22.1052,–0.0156,–0.07%
Доллар США,USD,1,88.7606,+0.0002,+0.00%
Узбекских сумов,UZS,1000,7.0111,+0.0089,+0.13%
Вьетнамский донг,VND,10000,36.6159,+0.0001,+0.00%
СДР (специальные права заимствования),XDR,1,117.6708,+0.0278,+0.02%
Южноафриканских рэндов,ZAR,10,47.1011,+0.1558,+0.33%
